"DATE" "DOW_Open" "DOW_High" "DOW_Low" "DOW_Close" "DOW_Adj.Close" "DOW_Volume" "NETEXP" "unemployment" "oil" "gold" "cpi" "federal_funds_rate" "gdp" "consumer_confidence"
"1" "1980-12-01" 375.529999 378.890015 368.690002 373.440002 373.440002 217900000 NA 7.2 37 623.875 86.4 17.71 NA "64.5"
"2" "1981-01-01" 373.899994 390.100006 361.269989 370.380005 370.380005 955520000 -14.259 7.5 38 596.711904761905 87.2 22 6947.042 "71.4"
"3" "1981-02-01" 368.850006 375.980011 355.279999 370.029999 370.029999 816310000 NA 7.4 38 557.8125 88 17.25 NA "66.9"
"4" "1981-03-01" 369.51001 395.440002 367.040009 390.829987 390.829987 1174530000 NA 7.4 38 500.8 88.6 15.53 NA "66.5"
"5" "1981-04-01" 392.480011 397.549988 382.059998 384.390015 384.390015 1123470000 -13.508 7.2 38 499.693181818182 89.1 14.51 6895.559 "72.4"
"6" "1981-05-01" 384.160004 391.549988 369.359985 387.140015 387.140015 905430000 NA 7.5 38 496.625 89.7 19.79 NA "76.3"
"7" "1981-06-01" 388.640015 395.450012 375.820007 378.309998 378.309998 1100970000 NA 7.5 36 480.315789473684 90.5 19.01 NA "73.1"
"8" "1981-07-01" 377.589996 379.459991 360.149994 371.630005 371.630005 953970000 -7.561 7.2 36 460.5 91.5 21.09 6978.135 "74.1"
"9" "1981-08-01" 371.179993 377.320007 345.820007 346.890015 346.890015 920550000 NA 7.4 36 409.284090909091 92.2 17.46 NA "77.2"
"10" "1981-09-01" 346.230011 350.570007 313.179993 330.179993 330.179993 959140000 NA 7.6 36 410.24 93.1 17.52 NA "73.1"
"11" "1981-10-01" 329.440002 346.869995 326.829987 340.630005 340.630005 997560000 -14.75 7.9 35 443.772727272727 93.4 16.96 6902.105 "70.3"
"12" "1981-11-01" 343.480011 358.899994 337.359985 357.359985 357.359985 987920000 NA 8.3 36 437.679545454545 93.8 14.44 NA "62.5"
"13" "1981-12-01" 356.720001 360.369995 343.899994 347.799988 347.799988 959470000 NA 8.5 35 413.404761904762 94.1 13.03 NA "64.3"
"14" "1982-01-01" 348.220001 351.880005 322.640015 339.230011 339.230011 968340000 -16.276 8.6 33.85 410.119047619048 94.4 13.13 6794.878 "71.0"
"15" "1982-02-01" 335.890015 338.269989 315.450012 323.540009 323.540009 972190000 NA 8.9 31.56 384.1625 94.7 15.69 NA "66.5"
"16" "1982-03-01" 323.559998 330.459991 308.01001 322.73999 322.73999 1268690000 NA 9 28.48 374.4575 94.7 14.11 NA "62.0"
"17" "1982-04-01" 322.019989 342.309998 321.619995 333.609985 333.609985 1136490000 -4.386 9.3 33.45 329.977272727273 95 15.48 6825.876 "65.5"
"18" "1982-05-01" 332.329987 345.799988 317.809998 319.700012 319.700012 1026460000 NA 9.4 35.93 350.335 95.9 15.28 NA "67.5"
"19" "1982-06-01" 319.640015 322.73999 304.23999 316.640015 316.640015 1102140000 NA 9.6 35.07 334.505263157895 97 13.76 NA "65.7"
"20" "1982-07-01" 316.26001 324.160004 306.579987 310.559998 310.559998 1145190000 -29.647 9.8 34.16 314.961363636364 97.5 14.73 6799.781 "65.4"
"21" "1982-08-01" 311.910004 354 296.51001 350.73999 350.73999 1672770000 NA 9.8 33.95 337.895454545455 97.7 11.41 NA "65.4"
"22" "1982-09-01" 351.75 368.75 345.940002 349.700012 349.700012 1548040000 NA 10.1 35.63 363.413095238095 97.7 11.28 NA "69.3"
"23" "1982-10-01" 349.51001 411.559998 348.040009 389.029999 389.029999 2068560000 -29.587 10.4 35.68 438.15 98.1 10.87 6802.497 "73.4"
"24" "1982-11-01" 388.700012 421.890015 374.170013 404.880005 404.880005 1857040000 NA 10.8 34.15 422.785714285714 98 9.43 NA "72.1"
"25" "1982-12-01" 406.209991 420.619995 387.670013 409.149994 409.149994 1682080000 NA 10.8 31.72 415.113636363636 97.7 9.1 NA "71.9"
"26" "1983-01-01" 409.859985 434.429993 398.140015 421.980011 421.980011 1857600000 -24.548 10.4 31.19 444.77619047619 97.9 11.2 6892.144 "70.4"
"27" "1983-02-01" 422.230011 445.299988 412.48999 438.25 438.25 1615450000 NA 10.4 28.95 481.8375 98 8.63 NA "74.6"
"28" "1983-03-01" 440.059998 457.279999 437.350006 446.049988 446.049988 1901920000 NA 10.3 28.82 493.4875 98.1 8.65 NA "80.8"
"29" "1983-04-01" 445.100006 477.48999 436.079987 473.950012 473.950012 1792910000 -45.434 10.2 30.61 420.70652173913 98.8 9.12 7048.982 "89.1"
"30" "1983-05-01" 472.920013 488.51001 460.420013 472.609985 472.609985 1953130000 NA 10.1 30 433.171052631579 99.2 8.84 NA "93.3"
"31" "1983-06-01" 471.720001 499.690002 467.76001 489.070007 489.070007 1973860000 NA 10.1 31 437.3925 99.4 9.38 NA "92.2"
"32" "1983-07-01" 489.890015 501.799988 471.01001 476.019989 476.019989 1590170000 -65.2 9.4 31.66 413.147727272727 99.8 9.31 7189.896 "92.8"
"33" "1983-08-01" 473.600006 480.829987 457.480011 479.290009 479.290009 1706430000 NA 9.5 31.91 422.645238095238 100.1 9.64 NA "90.9"
"34" "1983-09-01" 479.290009 505.179993 473.929993 488.970001 488.970001 1739810000 NA 9.2 31.11 416.204545454545 100.4 9.61 NA "89.9"
"35" "1983-10-01" 486.329987 511.170013 482.709991 494.179993 494.179993 1794620000 -71.385 8.8 30.41 412.245454545455 100.8 10.59 7339.893 "89.3"
"36" "1983-11-01" 494.230011 518.380005 488.130005 510.769989 510.769989 1814610000 NA 8.5 29.84 394.245238095238 101.1 9.45 NA "91.1"
"37" "1983-12-01" 509.950012 514.549988 492.059998 502.940002 502.940002 1850620000 NA 8.3 29.24 381.015909090909 101.4 9.46 NA "94.2"
"38" "1984-01-01" 503.079987 517.289978 477.959991 483.459991 483.459991 2215660000 -95.004 8 29.69 388.06 102.1 9.92 7483.371 "100.1"
"39" "1984-02-01" 484.109985 486.549988 436.130005 454.970001 454.970001 1932810000 NA 7.8 30.145 370.734523809524 102.6 9.74 NA "97.4"
"40" "1984-03-01" 454.040009 470.480011 444.600006 456.649994 456.649994 1854920000 NA 7.8 30.761 386.038095238095 102.9 9.73 NA "101.0"
"41" "1984-04-01" 457.649994 460.579987 436.450012 453.940002 453.940002 1717530000 -104.301 7.7 30.618 394.743181818182 103.3 10.24 7612.668 "96.1"
"42" "1984-05-01" 453.98999 465.940002 420.839996 430.320007 430.320007 1939550000 NA 7.4 30.52 381.371052631579 103.5 11.04 NA "98.1"
"43" "1984-06-01" 432.179993 446.470001 421.279999 439.26001 439.26001 1812870000 NA 7.2 29.967 376.957142857143 103.7 10.53 NA "95.5"
"44" "1984-07-01" 439.290009 443.089996 417.130005 434.329987 434.329987 1662200000 -103.847 7.5 28.752 378.314285714286 104.1 10.85 7686.059 "96.6"
"45" "1984-08-01" 436.209991 485.309998 434.839996 473.98999 473.98999 2526920000 NA 7.5 29.25 347.606818181818 104.4 12.04 NA "99.1"
"46" "1984-09-01" 471.809998 484.880005 460.579987 474.040009 474.040009 1768660000 NA 7.3 29.311 347.677272727273 104.7 11.64 NA "100.9"
"47" "1984-10-01" 473.600006 496.73999 458.480011 478.73999 478.73999 2110230000 -107.756 7.4 28.765 340.945 105.1 11.38 7749.151 "96.3"
"48" "1984-11-01" 480.100006 493.25 468.420013 474.200012 474.200012 1757280000 NA 7.2 28.098 340.217391304348 105.3 10.26 NA "95.7"
"49" "1984-12-01" 473.679993 494.670013 459.299988 489.859985 489.859985 1.781e+09 NA 7.3 25.429 341.286363636364 105.5 8.92 NA "92.9"
"50" "1985-01-01" 489.26001 527.359985 478.029999 518.890015 518.890015 2673710000 -91.298 7.3 25.641 319.622222222222 105.7 8.74 7824.247 "96.0"
"51" "1985-02-01" 516.609985 533.099976 513.280029 523.469971 523.469971 2194620000 NA 7.2 27.271 302.852272727273 106.3 8.74 NA "93.7"
"52" "1985-03-01" 523.450012 532.559998 503.029999 515.109985 515.109985 2153090000 NA 7.2 28.238 300.3325 106.8 8.74 NA "93.7"
"53" "1985-04-01" 514.75 520.679993 501.679993 506.470001 506.470001 1981880000 -114.445 7.3 28.805 303.204761904762 107 8.83 7893.136 "94.6"
"54" "1985-05-01" 506.390015 543.900024 498.859985 541.570007 541.570007 2350340000 NA 7.2 27.623 324.8825 107.2 8.83 NA "91.8"
"55" "1985-06-01" 544.349976 554.340027 529.219971 551.369995 551.369995 2.117e+09 NA 7.4 27.143 316.395238095238 107.5 7.64 NA "96.5"
"56" "1985-07-01" 551.049988 571.669983 546.679993 556.700012 556.700012 2463070000 -116.895 7.4 27.329 316.2975 107.7 8.12 8013.674 "94.0"
"57" "1985-08-01" 558.210022 563.400024 539.109985 554.369995 554.369995 1923200000 NA 7.1 27.755 317.202173913043 107.9 8.26 NA "92.4"
"58" "1985-09-01" 553.700012 556.109985 527.26001 536.909973 536.909973 1860160000 NA 7.1 28.289 330.130952380952 108.1 7.8 NA "92.1"
"59" "1985-10-01" 537.070007 561.219971 534.119995 556.659973 556.659973 2543240000 -133.434 7.1 29.538 323.764285714286 108.5 8.26 8073.239 "88.4"
"60" "1985-11-01" 556.22998 594.159973 554.099976 589.219971 589.219971 2445370000 NA 7 30.813 326.09347826087 109 8.32 NA "90.9"
"61" "1985-12-01" 588.650024 626.049988 581.830017 616.530029 616.530029 2804380000 NA 7 27.228 325.547619047619 109.5 8.54 NA "93.9"
